"start.station.id","start.station.latitude","start.station.longitude","trips_departed","city","start.station.name"
116,40.74177603,-74.00149746,6,"NYC","W 17 St & 8 Ave"
127,40.73172428,-74.00674436,6,"NYC","Barrow St & Hudson St"
128,40.72710258,-74.00297088,6,"NYC","MacDougal St & Prince St"
146,40.71625008,-74.0091059,7,"NYC","Hudson St & Reade St"
150,40.7208736,-73.98085795,6,"NYC","E 2 St & Avenue C"
151,40.722103786686,-73.997249007225,5,"NYC","Cleveland Pl & Spring St"
161,40.72917025,-73.99810231,8,"NYC","LaGuardia Pl & W 3 St"
164,40.75323098,-73.97032517,6,"NYC","E 47 St & 2 Ave"
167,40.7489006,-73.97604882,6,"NYC","E 39 St & 3 Ave"
173,40.7606832709659,-73.9845272898674,6,"NYC","Broadway & W 49 St"
2002,40.716887,-73.963198,6,"NYC","Wythe Ave & Metropolitan Ave"
2003,40.7338121919663,-73.9805442094803,12,"NYC","1 Ave & E 18 St"
2006,40.76590936,-73.97634151,15,"NYC","Central Park S & 6 Ave"
2008,40.70569254,-74.01677685,15,"NYC","Little West St & 1 Pl"
2009,40.71117444,-73.99682619,5,"NYC","Catherine St & Monroe St"
2010,40.7217000523561,-74.002381414175,6,"NYC","Grand St & Greene St"
2012,40.739445,-73.976806,9,"NYC","E 27 St & 1 Ave"
2017,40.75022392,-73.97121414,8,"NYC","E 43 St & 2 Ave"
2021,40.75929124,-73.98859651,8,"NYC","W 45 St & 8 Ave"
212,40.74334935,-74.00681753,5,"NYC","W 16 St & The High Line"
217,40.70277159,-73.99383605,13,"NYC","Old Fulton St"
223,40.73781509,-73.99994661,7,"NYC","W 13 St & 7 Ave"
224,40.71146364,-74.00552427,6,"NYC","Spruce St & Nassau St"
236,40.7284186,-73.98713956,5,"NYC","St Marks Pl & 2 Ave"
237,40.73047309,-73.98672378,8,"NYC","E 11 St & 2 Ave"
250,40.72456089,-73.99565293,7,"NYC","Lafayette St & Jersey St"
251,40.72317958,-73.99480012,7,"NYC","Mott St & Prince St"
254,40.73532427,-73.99800419,5,"NYC","W 11 St & 6 Ave"
257,40.71939226,-74.00247214,5,"NYC","Lispenard St & Broadway"
267,40.75097711,-73.98765428,7,"NYC","Broadway & W 36 St"
268,40.71910537,-73.99973337,5,"NYC","Howard St & Centre St"
280,40.73331967,-73.99510132,8,"NYC","E 10 St & 5 Ave"
281,40.7643971,-73.97371465,5,"NYC","Grand Army Plaza & Central Park S"
284,40.7390169121,-74.0026376103,6,"NYC","Greenwich Ave & 8 Ave"
285,40.73454567,-73.99074142,10,"NYC","Broadway & E 14 St"
291,40.713126,-73.984844,7,"NYC","Madison St & Montgomery St"
293,40.7302066052995,-73.9910262823105,7,"NYC","Lafayette St & E 8 St"
295,40.71406667,-73.99293911,7,"NYC","Pike St & E Broadway"
297,40.734232,-73.986923,8,"NYC","E 15 St & 3 Ave"
3002,40.711512,-74.015756,7,"NYC","South End Ave & Liberty St"
301,40.72217444,-73.98368779,5,"NYC","E 2 St & Avenue B"
3016,40.7203677529846,-73.9616507291794,9,"NYC","Kent Ave & N 7 St"
3044,40.6800105,-73.938475,6,"NYC","Albany Ave & Fulton St"
305,40.76095756,-73.96724467,7,"NYC","E 58 St & 3 Ave"
307,40.71427487,-73.98990025,6,"NYC","Canal St & Rutgers St"
3076,40.70870368,-73.9448625,5,"NYC","Scholes St & Manhattan Ave"
3082,40.71167351,-73.95141312,9,"NYC","Hope St & Union Ave"
3096,40.71924,-73.95242,5,"NYC","Union Ave & N 12 St"
3101,40.72079821,-73.95484712,7,"NYC","N 12 St & Bedford Ave"
311,40.7172274,-73.98802084,7,"NYC","Norfolk St & Broome St"
3112,40.72906,-73.95779,5,"NYC","Milton St & Franklin St"
312,40.722055,-73.989111,10,"NYC","Allen St & Stanton St"
3124,40.74731,-73.95451,5,"NYC","46 Ave & 5 St"
3137,40.77282817,-73.96685276,11,"NYC","5 Ave & E 73 St"
3139,40.7711828754066,-73.9640942215919,6,"NYC","E 72 St & Park Ave"
3141,40.76500525,-73.95818491,19,"NYC","1 Ave & E 68 St"
3142,40.7612274,-73.96094022,14,"NYC","1 Ave & E 62 St"
3143,40.7763214218227,-73.9642739295959,10,"NYC","5 Ave & E 78 St"
3144,40.77677702,-73.9590097,5,"NYC","E 81 St & Park Ave"
3146,40.77573034,-73.9567526,7,"NYC","E 81 St & 3 Ave"
3147,40.77801203,-73.95407149,7,"NYC","E 85 St & 3 Ave"
3148,40.77565541,-73.95068615,10,"NYC","E 84 St & 1 Ave"
315,40.70355377,-74.00670227,10,"NYC","South St & Gouverneur Ln"
3156,40.76663814,-73.95348296,6,"NYC","E 72 St & York Ave"
316,40.70955958,-74.00653609,6,"NYC","Fulton St & William St"
3160,40.77896784,-73.97374737,10,"NYC","Central Park West & W 76 St"
3161,40.7801839724239,-73.9772853255272,5,"NYC","W 76 St & Columbus Ave"
3163,40.7734066,-73.97782542,7,"NYC","Central Park West & W 68 St"
3164,40.7770575,-73.97898475,14,"NYC","Columbus Ave & W 72 St"
3165,40.7757937668367,-73.9762057363987,16,"NYC","Central Park West & W 72 St"
3166,40.7805779901033,-73.9856243133545,10,"NYC","Riverside Dr & W 72 St"
3167,40.7796680900731,-73.9809304475784,6,"NYC","Amsterdam Ave & W 73 St"
3168,40.78472675,-73.96961715,8,"NYC","Central Park West & W 85 St"
3169,40.78720869,-73.98128127,5,"NYC","Riverside Dr & W 82 St"
317,40.72453734,-73.98185424,11,"NYC","E 6 St & Avenue B"
3175,40.77748046,-73.98288594,6,"NYC","W 70 St & Amsterdam Ave"
3177,40.7867947,-73.977112,5,"NYC","W 84 St & Broadway"
3178,40.78414472,-73.98362492,7,"NYC","Riverside Dr & W 78 St"
319,40.711066,-74.009447,7,"NYC","Fulton St & Broadway"
320,40.717571,-74.005549,7,"NYC","Leonard St & Church St"
3236,40.7589848139963,-73.9937996864319,5,"NYC","W 42 St & Dyer Ave"
3244,40.7314372408523,-73.9949034154415,6,"NYC","University Pl & E 8 St"
325,40.73624527,-73.98473765,11,"NYC","E 19 St & 3 Ave"
3255,40.7505853470215,-73.9946848154068,5,"NYC","8 Ave & W 31 St"
3256,40.7277140777778,-74.011295735836,18,"NYC","Pier 40 - Hudson River Park"
3259,40.7493702419328,-73.9992338418961,6,"NYC","9 Ave & W 28 St"
326,40.72953837,-73.98426726,11,"NYC","E 11 St & 1 Ave"
3260,40.7270636334831,-73.9966213703155,5,"NYC","Mercer St & Bleecker St"
3263,40.7295149622495,-73.990752696991,7,"NYC","Cooper Square & Astor Pl"
